comment,description,element_set_id,element_set_resource,element_set_url,id,name,order,url
,Any textual data included in the document,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,1,Text,None,http://bigreadstjoe.omeka.net/api/elements/1
,The person(s) performing the interview,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,2,Interviewer,None,http://bigreadstjoe.omeka.net/api/elements/2
,The person(s) being interviewed,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,3,Interviewee,None,http://bigreadstjoe.omeka.net/api/elements/3
,The location of the interview,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,4,Location,None,http://bigreadstjoe.omeka.net/api/elements/4
,Any written text transcribed from a sound,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,5,Transcription,None,http://bigreadstjoe.omeka.net/api/elements/5
,The URL of the local directory containing all assets of the website,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,6,Local URL,None,http://bigreadstjoe.omeka.net/api/elements/6
,"The type of object, such as painting, sculpture, paper, photo, and additional data",3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,7,Original Format,None,http://bigreadstjoe.omeka.net/api/elements/7
,The actual physical size of the original image,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,10,Physical Dimensions,None,http://bigreadstjoe.omeka.net/api/elements/10
,"Length of time involved (seconds, minutes, hours, days, class periods, etc.)",3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,11,Duration,None,http://bigreadstjoe.omeka.net/api/elements/11
,Type/rate of compression for moving image file (i.e. MPEG-4),3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,12,Compression,None,http://bigreadstjoe.omeka.net/api/elements/12
,Name (or names) of the person who produced the video,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,13,Producer,None,http://bigreadstjoe.omeka.net/api/elements/13
,Name (or names) of the person who produced the video,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,14,Director,None,http://bigreadstjoe.omeka.net/api/elements/14
,Rate at which bits are transferred (i.e. 96 kbit/s would be FM quality audio),3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,15,Bit Rate/Frequency,None,http://bigreadstjoe.omeka.net/api/elements/15
,A summary of an interview given for different time stamps throughout the interview,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,16,Time Summary,None,http://bigreadstjoe.omeka.net/api/elements/16
,"The main body of the email, including all replied and forwarded text and headers",3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,17,Email Body,None,http://bigreadstjoe.omeka.net/api/elements/17
,The content of the subject line of the email,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,18,Subject Line,None,http://bigreadstjoe.omeka.net/api/elements/18
,The name and email address of the person sending the email,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,19,From,None,http://bigreadstjoe.omeka.net/api/elements/19
,The name(s) and email address(es) of the person to whom the email was sent,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,20,To,None,http://bigreadstjoe.omeka.net/api/elements/20
,The name(s) and email address(es) of the person to whom the email was carbon copied,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,21,CC,None,http://bigreadstjoe.omeka.net/api/elements/21
,The name(s) and email address(es) of the person to whom the email was blind carbon copied,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,22,BCC,None,http://bigreadstjoe.omeka.net/api/elements/22
,The number of attachments to the email,3,element_sets,http://bigreadstjoe.omeka.net/api/element_sets/3,23,Number of Attachments,None,http://bigreadstjoe.omeka.net/api/elements/23
