added,authentication,file_urls_fullsize,file_urls_original,file_urls_square_thumbnail,file_urls_thumbnail,filename,has_derivative_image,id,item_id,item_resource,item_url,metadata_jpg,metadata_mime_type,metadata_video,mime_type,modified,original_filename,size,stored,type_os,url
2017-10-13T19:42:10+00:00,b6fa396428563cd5ed024a81ea81a69a,https://s3.amazonaws.com/omeka-net/34481/archive/fullsize/4aa3af1ca12e90ed546ab579c6bca564.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=uo4xYVWsZFUIsO8W0moWhUsPFlw%3D,https://s3.amazonaws.com/omeka-net/34481/archive/files/4aa3af1ca12e90ed546ab579c6bca564.JPG?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=aUJeY%2FAUNAqidMe%2BvwMJNm%2F7gok%3D,https://s3.amazonaws.com/omeka-net/34481/archive/square_thumbnails/4aa3af1ca12e90ed546ab579c6bca564.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=KzASC%2FpiHrmUDn0N3pSdslunFNQ%3D,https://s3.amazonaws.com/omeka-net/34481/archive/thumbnails/4aa3af1ca12e90ed546ab579c6bca564.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=lGH6%2F5k1Hn56o9Kqoh6eW4mB3Ss%3D,4aa3af1ca12e90ed546ab579c6bca564.JPG,True,1,25,items,http://bigreadstjoe.omeka.net/api/items/25,None,image/jpeg,None,image/jpeg,2017-10-13T19:42:15+00:00,IMG_0166.JPG,2666021,True,"JPEG image data, EXIF standard 2.21",http://bigreadstjoe.omeka.net/api/files/1
2017-10-13T19:43:40+00:00,8dbd837fd39408656a31192268e8803f,https://s3.amazonaws.com/omeka-net/34481/archive/fullsize/28d3ebe94dbd23cade4beb816b776dee.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=uhtZw2%2BfqOcmU7n006FloqFuSZA%3D,https://s3.amazonaws.com/omeka-net/34481/archive/files/28d3ebe94dbd23cade4beb816b776dee.JPG?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=QElETqi2wg0%2Fk3VWV30hhk77v0s%3D,https://s3.amazonaws.com/omeka-net/34481/archive/square_thumbnails/28d3ebe94dbd23cade4beb816b776dee.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=%2Bvrt6pb7jEa5njBhfCL93GHrMbo%3D,https://s3.amazonaws.com/omeka-net/34481/archive/thumbnails/28d3ebe94dbd23cade4beb816b776dee.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=qHXCQzTtGQDPJqgikJWFeKV9ulU%3D,28d3ebe94dbd23cade4beb816b776dee.JPG,True,2,24,items,http://bigreadstjoe.omeka.net/api/items/24,None,image/jpeg,None,image/jpeg,2017-10-13T19:43:44+00:00,IMG_0169.JPG,2788754,True,"JPEG image data, EXIF standard 2.21",http://bigreadstjoe.omeka.net/api/files/2
2017-10-13T19:49:56+00:00,b4ed67829349f68bf0fe164cc276f2ef,https://s3.amazonaws.com/omeka-net/34481/archive/fullsize/e5ac8cfcb03efbb6e250bc35da74cc0f.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=071Uhn6yALIjAOpUT1M1hS8iC6w%3D,https://s3.amazonaws.com/omeka-net/34481/archive/files/e5ac8cfcb03efbb6e250bc35da74cc0f.JPG?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=wl4TygQbmRZA4Es03xb8FYghhaA%3D,https://s3.amazonaws.com/omeka-net/34481/archive/square_thumbnails/e5ac8cfcb03efbb6e250bc35da74cc0f.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=Ln0B0eWjHS21fVour%2FbpCXptWi8%3D,https://s3.amazonaws.com/omeka-net/34481/archive/thumbnails/e5ac8cfcb03efbb6e250bc35da74cc0f.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=GFl%2BLeuV0R3AdDonq8Bo%2FaLo2l8%3D,e5ac8cfcb03efbb6e250bc35da74cc0f.JPG,True,4,22,items,http://bigreadstjoe.omeka.net/api/items/22,None,image/jpeg,None,image/jpeg,2017-10-13T19:51:43+00:00,IMG_0173.JPG,2670170,True,"JPEG image data, EXIF standard 2.21",http://bigreadstjoe.omeka.net/api/files/4
2017-10-13T19:51:00+00:00,b4ed67829349f68bf0fe164cc276f2ef,https://s3.amazonaws.com/omeka-net/34481/archive/fullsize/dd73ccbf50fa62f2f8d52a3e7f05ae53.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=E5JW9KxPcgzP8dRQAVn5EH1%2BKAs%3D,https://s3.amazonaws.com/omeka-net/34481/archive/files/dd73ccbf50fa62f2f8d52a3e7f05ae53.JPG?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=deIxOCMTBYafEbkc2nw9VrBoTkI%3D,https://s3.amazonaws.com/omeka-net/34481/archive/square_thumbnails/dd73ccbf50fa62f2f8d52a3e7f05ae53.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=J06x9ZsZZyyRVZQnuAbnMPGKZ10%3D,https://s3.amazonaws.com/omeka-net/34481/archive/thumbnails/dd73ccbf50fa62f2f8d52a3e7f05ae53.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=ZFmy%2B5pnKQ%2BoZn3EKaISr9bjrXg%3D,dd73ccbf50fa62f2f8d52a3e7f05ae53.JPG,True,5,22,items,http://bigreadstjoe.omeka.net/api/items/22,None,image/jpeg,None,image/jpeg,2017-10-13T19:52:17+00:00,IMG_0173.JPG,2670170,True,"JPEG image data, EXIF standard 2.21",http://bigreadstjoe.omeka.net/api/files/5
2017-10-13T19:53:26+00:00,c215ce173d624e17459b5a1802759969,https://s3.amazonaws.com/omeka-net/34481/archive/fullsize/49ca759f322a3b32e51fd3a3d3cb105b.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=als3dUEoGZyo%2BXX1GYr79n%2BbF%2Fs%3D,https://s3.amazonaws.com/omeka-net/34481/archive/files/49ca759f322a3b32e51fd3a3d3cb105b.JPG?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=RDNUfc9iKFNFIzxdBH%2F22I14XqE%3D,https://s3.amazonaws.com/omeka-net/34481/archive/square_thumbnails/49ca759f322a3b32e51fd3a3d3cb105b.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=pmf8NNdRoEZ78nPUq9GGQamADTo%3D,https://s3.amazonaws.com/omeka-net/34481/archive/thumbnails/49ca759f322a3b32e51fd3a3d3cb105b.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=c4pzkQzV0LoQ2hTcls%2Bdo1ihO4g%3D,49ca759f322a3b32e51fd3a3d3cb105b.JPG,True,6,21,items,http://bigreadstjoe.omeka.net/api/items/21,None,image/jpeg,None,image/jpeg,2017-10-13T19:53:29+00:00,IMG_0153.JPG,2724084,True,"JPEG image data, EXIF standard 2.21",http://bigreadstjoe.omeka.net/api/files/6
2017-10-13T19:54:12+00:00,2a8ed895ec60244d7ba525bd1dca9787,https://s3.amazonaws.com/omeka-net/34481/archive/fullsize/a006561a0e19e6852b2051255b5710c4.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=%2BDK%2BIvECVe41Xm3WpMGLtfFE9FA%3D,https://s3.amazonaws.com/omeka-net/34481/archive/files/a006561a0e19e6852b2051255b5710c4.JPG?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=EUzb%2F68qkutEb4jeCGdM1utEKws%3D,https://s3.amazonaws.com/omeka-net/34481/archive/square_thumbnails/a006561a0e19e6852b2051255b5710c4.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=lxyU45iUw9QiU43AUDLeY1K%2Fdxc%3D,https://s3.amazonaws.com/omeka-net/34481/archive/thumbnails/a006561a0e19e6852b2051255b5710c4.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=9Wd4bsDAKEkfBdLXDO6z0pg8hlg%3D,a006561a0e19e6852b2051255b5710c4.JPG,True,7,20,items,http://bigreadstjoe.omeka.net/api/items/20,None,image/jpeg,None,image/jpeg,2017-10-13T19:54:16+00:00,IMG_0154.JPG,2916495,True,"JPEG image data, EXIF standard 2.21",http://bigreadstjoe.omeka.net/api/files/7
2017-10-13T19:54:52+00:00,b18047d40be70d6a5be8eab9fc99bf2c,https://s3.amazonaws.com/omeka-net/34481/archive/fullsize/b6bd6f8bc93ec9291f2aa090c22b7618.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=L7w1Hk%2F%2FFuoML6NHYbIkAXqIEPs%3D,https://s3.amazonaws.com/omeka-net/34481/archive/files/b6bd6f8bc93ec9291f2aa090c22b7618.JPG?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=eUlquR%2Boot%2F6sQRKqYzFgan21s8%3D,https://s3.amazonaws.com/omeka-net/34481/archive/square_thumbnails/b6bd6f8bc93ec9291f2aa090c22b7618.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=m9zMk56ubxizIgsocSjBQGmYEXI%3D,https://s3.amazonaws.com/omeka-net/34481/archive/thumbnails/b6bd6f8bc93ec9291f2aa090c22b7618.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=8UtkIEIqQ%2F2K7gLftOnBLvcp64U%3D,b6bd6f8bc93ec9291f2aa090c22b7618.JPG,True,8,19,items,http://bigreadstjoe.omeka.net/api/items/19,None,image/jpeg,None,image/jpeg,2017-10-13T19:54:56+00:00,IMG_0155.JPG,2950820,True,"JPEG image data, EXIF standard 2.21",http://bigreadstjoe.omeka.net/api/files/8
2017-10-13T19:56:07+00:00,673b482c3d2b9b6b232bdbed41f9e408,https://s3.amazonaws.com/omeka-net/34481/archive/fullsize/ae104c3bff06ff1c7f0916198b9b5b45.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=wktU97GtG%2BDARrj%2FSh9NbuNKuf0%3D,https://s3.amazonaws.com/omeka-net/34481/archive/files/ae104c3bff06ff1c7f0916198b9b5b45.JPG?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=U9RPgbLSPErssWtbJvLQIlA2UsY%3D,https://s3.amazonaws.com/omeka-net/34481/archive/square_thumbnails/ae104c3bff06ff1c7f0916198b9b5b45.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=XS6c8DT0DeRqnvVQ%2B8ogHO9w19c%3D,https://s3.amazonaws.com/omeka-net/34481/archive/thumbnails/ae104c3bff06ff1c7f0916198b9b5b45.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=WHM9YVjsFjMp0h%2B%2FK1q855mSXvc%3D,ae104c3bff06ff1c7f0916198b9b5b45.JPG,True,9,18,items,http://bigreadstjoe.omeka.net/api/items/18,None,image/jpeg,None,image/jpeg,2017-10-13T19:56:12+00:00,IMG_0156.JPG,3759036,True,"JPEG image data, EXIF standard 2.21",http://bigreadstjoe.omeka.net/api/files/9
2017-10-13T19:56:42+00:00,60c9f3ef35db159e07138911b8e06a7a,https://s3.amazonaws.com/omeka-net/34481/archive/fullsize/87944e3a7417829787068eab41bfeff6.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=2SEI8TpsM4t1IBdPL%2Bf6P9btnhY%3D,https://s3.amazonaws.com/omeka-net/34481/archive/files/87944e3a7417829787068eab41bfeff6.JPG?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=KH4TWpvaUG5aZSYfjZFxe%2BghsMo%3D,https://s3.amazonaws.com/omeka-net/34481/archive/square_thumbnails/87944e3a7417829787068eab41bfeff6.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=LHN0fzzujmcFOxwGfTE1giZeKXw%3D,https://s3.amazonaws.com/omeka-net/34481/archive/thumbnails/87944e3a7417829787068eab41bfeff6.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=sHsQOriencZvpVPWEE12tEo44nc%3D,87944e3a7417829787068eab41bfeff6.JPG,True,10,17,items,http://bigreadstjoe.omeka.net/api/items/17,None,image/jpeg,None,image/jpeg,2017-10-13T19:56:46+00:00,IMG_0158.JPG,2927983,True,"JPEG image data, EXIF standard 2.21",http://bigreadstjoe.omeka.net/api/files/10
2017-10-13T19:59:12+00:00,933f14207ba98895f6d7946ab8fd269c,https://s3.amazonaws.com/omeka-net/34481/archive/fullsize/243553c7cf087ad2f50cee5471548316.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=AifNFuLjuFM6VGyufLmPBIaNebg%3D,https://s3.amazonaws.com/omeka-net/34481/archive/files/243553c7cf087ad2f50cee5471548316.JPG?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=0GdeEfRZ7GDsj7ArBHUE3JPJjsc%3D,https://s3.amazonaws.com/omeka-net/34481/archive/square_thumbnails/243553c7cf087ad2f50cee5471548316.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=Hp38HocF4JDLOeDUUqGJR68vzz0%3D,https://s3.amazonaws.com/omeka-net/34481/archive/thumbnails/243553c7cf087ad2f50cee5471548316.jpg?AWSAccessKeyId=AKIAI3ATG3OSQLO5HGKA&Expires=1509629198&Signature=h2z4TeE9EqUE2NNk7caIZ3ApLc8%3D,243553c7cf087ad2f50cee5471548316.JPG,True,11,16,items,http://bigreadstjoe.omeka.net/api/items/16,None,image/jpeg,None,image/jpeg,2017-10-13T19:59:16+00:00,IMG_0161.JPG,2809609,True,"JPEG image data, EXIF standard 2.21",http://bigreadstjoe.omeka.net/api/files/11
