Coverage,Creator,Date,Description,Format,Identifier,Publisher,Source,Subject,Title,Type,added,collection_id,collection_resource,collection_url,extended_resources_exhibit_pages,featured,files_count,files_resource,files_url,id,item_type_id,item_type_name,item_type_resource,item_type_url,modified,owner_id,owner_resource,owner_url,public,tags,url
WWI,None,1918,"U.S. Army WW1 helmet. Purchased by the Northern Indiana Historical Society, from Mrs. J.M. Wood of Warsaw, Indiana. This was originally part of the Vernon C. Keller Collection out of Bourbon, Indiana",None,29.41.1,"Northern Indiana Historical Society, Inc","Wood, J.M.",helmet,WWI Helmet,object,2017-10-07T00:51:46+00:00,1,collections,http://bigreadstjoe.omeka.net/api/collections/1,None,False,1,files,http://bigreadstjoe.omeka.net/api/files?item=1,1,15,Physical Object,item_types,http://bigreadstjoe.omeka.net/api/item_types/15,2017-10-16T19:25:26+00:00,46022,users,http://bigreadstjoe.omeka.net/api/users/46022,True,"helmet, military, u.s. army, wwi",http://bigreadstjoe.omeka.net/api/items/1
WWI - WWII,None,1919 - 1945,"Trench Art: Lamp made most likely from a World War I shell casing, though information dates the lamp to between WWI and WWII. Koa wood base. Shell has been embossed with a design of a Bird of Paradise, on a flower-trimmed limb. The shell casing is made of brass and nickel-plating over the design. Completed with three (3) etched and pressed glass shades.",None,79.83.1,"Northern Indiana Historical Society, Inc.","Inglett, Mr. George E.",military,Shell Casing Lamp,None,2017-10-07T01:08:53+00:00,None,None,None,None,True,1,files,http://bigreadstjoe.omeka.net/api/files?item=2,2,15,Physical Object,item_types,http://bigreadstjoe.omeka.net/api/item_types/15,2017-10-16T20:26:14+00:00,46022,users,http://bigreadstjoe.omeka.net/api/users/46022,True,"lamp, trench art, wwi, wwii",http://bigreadstjoe.omeka.net/api/items/2
Vietnam War,None,1967-1971,"Vietnam War Khaki cotton garrison cap. Eyelet on the left front for the insignia. Worn by P.D.  Scruggs, who was in the U.S. Marines, 1967-1971. Scruggs was deployed to Vietnam.",None,84.108.11,"Northern Indiana Historical Society, Inc.","Scruggs, Jane Tabor",Military,Garrison Cap,None,2017-10-07T01:13:22+00:00,1,collections,http://bigreadstjoe.omeka.net/api/collections/1,None,False,1,files,http://bigreadstjoe.omeka.net/api/files?item=3,3,15,Physical Object,item_types,http://bigreadstjoe.omeka.net/api/item_types/15,2017-10-16T19:23:41+00:00,46022,users,http://bigreadstjoe.omeka.net/api/users/46022,True,"garrison cap, marines, military, vietnam war",http://bigreadstjoe.omeka.net/api/items/3
korean war,None,1952,"A Korean War U.S. Army steel combat helmet. The helmet liner is missing. Painted olive drab. Chin strap is olive color with a metal tab on the end. Worn by Julius De Maegd, U.S. Army, deployed in Korea.",None,88.100.10 A-B,"Northern Indiana Historical Society, Inc.","DeMaegd, Julius",military,Korean War Helmet,None,2017-10-07T01:20:39+00:00,1,collections,http://bigreadstjoe.omeka.net/api/collections/1,None,False,1,files,http://bigreadstjoe.omeka.net/api/files?item=4,4,15,Physical Object,item_types,http://bigreadstjoe.omeka.net/api/item_types/15,2017-10-16T19:29:39+00:00,46022,users,http://bigreadstjoe.omeka.net/api/users/46022,True,"helmet, korean war, military, u.s. army",http://bigreadstjoe.omeka.net/api/items/4
Korean War,None,1955,"WORLD WAR II U.S. ARMY PARATROOPER HELMET. THE HELMET IS MADE FROM STEEL WHICH HAS BEEN PAINTED AN OLIVE DRAB GREEN ON THE OUTSIDE. THERE IS A LARGE WHITE BAR PAINTED ON THE BACK OF THE HELMET AND A SMALLER WHITE BAR PAINTED ON THE FRONT. THEY SYMBOLIZE A LIEUTENANT'S BAR. THERE IS A BLOTCH OF RED PAINT ON THE LEFT SIDE WHICH LOOKS SOMEWHAT LIKE A FIREBALL. THE INSIDE OF THE HELMET IS LINED WITH A METAL INSET WHICH IS PAINTED WITH LIGHT AND DARK BROWN
STRIPES. A WEB OF LEATHER AND HEAVY COTTON
TWILL STRAPS IS ATTACHED TO THE LINER. THIS WEB ALLOWS SIZE ADJUSTMENT AND KEEPS THE HELMET FROM RESTING DIRECTLY ON THE WEARER'S HEAD. THERE ARE 2 SETS OF CHIN STRAPS. 1 SET IS ATTACHED TO THE LINER AND 1 TO THE OUTER HELMET.

Belonged to Lieutenant Colonel Charles E. Lewis.",None,89.106.23 A-B,"Northern Indiana Historical Society, Inc.","Lewis, Lt. Col. Charles E.",military,U.S. Army Paratrooper Helmet,None,2017-10-07T01:28:24+00:00,1,collections,http://bigreadstjoe.omeka.net/api/collections/1,None,False,1,files,http://bigreadstjoe.omeka.net/api/files?item=5,5,15,Physical Object,item_types,http://bigreadstjoe.omeka.net/api/item_types/15,2017-10-16T19:29:08+00:00,46022,users,http://bigreadstjoe.omeka.net/api/users/46022,True,"hemlet, military, paratrooper, u.s. army, wwii",http://bigreadstjoe.omeka.net/api/items/5
WWII,None,1945-1953,"U.S. Army or U.S. Army Air Force steel helmet from WWII, no lining. Khaki cotton straps fastened with a brass hook and eye and adjustment brake. Straps fastened by welded loops to the helmet at the sides.",None,89..115.9,"Northern Indiana Historical Society, Inc.",P.R. Leatherwood,military,U.S. Army WWII Helmet,None,2017-10-07T01:33:47+00:00,1,collections,http://bigreadstjoe.omeka.net/api/collections/1,None,False,1,files,http://bigreadstjoe.omeka.net/api/files?item=6,6,15,Physical Object,item_types,http://bigreadstjoe.omeka.net/api/item_types/15,2017-10-16T19:28:23+00:00,46022,users,http://bigreadstjoe.omeka.net/api/users/46022,True,"helmet, military, u.s. army, wwii",http://bigreadstjoe.omeka.net/api/items/6
Operation Desert Storm,None,1991 - 1993,United States Army - Operation Desert Storm hot weather hat in tan/desert camouflage,None,93.149.1,"Northern Indiana Historical Society, Inc.","Kuehn, Ruth Ann",military,Desert Storm Hot Weather Hat,None,2017-10-07T01:44:06+00:00,1,collections,http://bigreadstjoe.omeka.net/api/collections/1,None,False,1,files,http://bigreadstjoe.omeka.net/api/files?item=7,7,15,Physical Object,item_types,http://bigreadstjoe.omeka.net/api/item_types/15,2017-10-16T19:20:00+00:00,46022,users,http://bigreadstjoe.omeka.net/api/users/46022,True,"desert storm, gulf war, hat, military, u.s. army",http://bigreadstjoe.omeka.net/api/items/7
WWI,None,1910 - 1920,"Pieces of a broken matchbox case, modified with trench art by a WWI soldier. the large piece (A) includes the top and backing of the box, and features a metal crown seal of the German forces. The back (B), which has broken off, features etched ornamentation that reads: ""ACY Verdun"".

Worn and carried  by Charlie Robbins, Balloon Corps soldier, in World War I",None,2017.25.6,Northern Indiana Historical Society,"McClain, Debrab",military,Matchbox Case,None,2017-10-07T01:49:19+00:00,2,collections,http://bigreadstjoe.omeka.net/api/collections/2,None,False,1,files,http://bigreadstjoe.omeka.net/api/files?item=8,8,15,Physical Object,item_types,http://bigreadstjoe.omeka.net/api/item_types/15,2017-10-16T19:44:27+00:00,46022,users,http://bigreadstjoe.omeka.net/api/users/46022,True,"matchbox, trench art, wwi",http://bigreadstjoe.omeka.net/api/items/8
None,None,1975-1978,"US Army, 1975-1978
Used by Sargent Mike Scullion",None,None,None,"Scullion, Mike",military,Neckerchief,None,2017-10-07T16:41:35+00:00,2,collections,http://bigreadstjoe.omeka.net/api/collections/2,None,False,1,files,http://bigreadstjoe.omeka.net/api/files?item=9,9,15,Physical Object,item_types,http://bigreadstjoe.omeka.net/api/item_types/15,2017-10-16T19:18:06+00:00,46022,users,http://bigreadstjoe.omeka.net/api/users/46022,True,"army, military, neckerchief, u.s. army",http://bigreadstjoe.omeka.net/api/items/9
Second Gulf War,None,2003,"US Army, Second Gulf War, 2003
Used by Sargent Rhiannon Carlson (IU South Bend staff)",None,None,None,"Carlson, Rhiannon",military,"Poncho Liner (""Woobie"")",None,2017-10-07T16:43:30+00:00,2,collections,http://bigreadstjoe.omeka.net/api/collections/2,None,True,1,files,http://bigreadstjoe.omeka.net/api/files?item=10,10,15,Physical Object,item_types,http://bigreadstjoe.omeka.net/api/item_types/15,2017-10-16T20:25:58+00:00,46022,users,http://bigreadstjoe.omeka.net/api/users/46022,True,"poncho liner, second gulf war, woobie",http://bigreadstjoe.omeka.net/api/items/10
