id,name,url
1,army,http://bigreadstjoe.omeka.net/api/tags/1
2,neckerchief,http://bigreadstjoe.omeka.net/api/tags/2
3,military,http://bigreadstjoe.omeka.net/api/tags/3
4,cigarette case,http://bigreadstjoe.omeka.net/api/tags/4
5,lighter,http://bigreadstjoe.omeka.net/api/tags/5
6,wwi,http://bigreadstjoe.omeka.net/api/tags/6
7,u.s army,http://bigreadstjoe.omeka.net/api/tags/7
8,safety razor,http://bigreadstjoe.omeka.net/api/tags/8
9,cold war,http://bigreadstjoe.omeka.net/api/tags/9
10,swiss army knife,http://bigreadstjoe.omeka.net/api/tags/10
11,sheath,http://bigreadstjoe.omeka.net/api/tags/11
12,dog tags,http://bigreadstjoe.omeka.net/api/tags/12
13,present,http://bigreadstjoe.omeka.net/api/tags/13
14,u.s. army,http://bigreadstjoe.omeka.net/api/tags/14
15,national guard,http://bigreadstjoe.omeka.net/api/tags/15
16,vietnam war,http://bigreadstjoe.omeka.net/api/tags/16
17,marines,http://bigreadstjoe.omeka.net/api/tags/17
18,france,http://bigreadstjoe.omeka.net/api/tags/18
19,second gulf war,http://bigreadstjoe.omeka.net/api/tags/19
20,poncho liner,http://bigreadstjoe.omeka.net/api/tags/20
21,woobie,http://bigreadstjoe.omeka.net/api/tags/21
22,trench art,http://bigreadstjoe.omeka.net/api/tags/22
23,matchbox,http://bigreadstjoe.omeka.net/api/tags/23
24,gulf war,http://bigreadstjoe.omeka.net/api/tags/24
25,hat,http://bigreadstjoe.omeka.net/api/tags/25
26,desert storm,http://bigreadstjoe.omeka.net/api/tags/26
27,wwii,http://bigreadstjoe.omeka.net/api/tags/27
28,helmet,http://bigreadstjoe.omeka.net/api/tags/28
29,paratrooper,http://bigreadstjoe.omeka.net/api/tags/29
30,hemlet,http://bigreadstjoe.omeka.net/api/tags/30
31,korean war,http://bigreadstjoe.omeka.net/api/tags/31
32,garrison cap,http://bigreadstjoe.omeka.net/api/tags/32
33,lamp,http://bigreadstjoe.omeka.net/api/tags/33
34,compass,http://bigreadstjoe.omeka.net/api/tags/34
35,pace count beads,http://bigreadstjoe.omeka.net/api/tags/35
36,pocket watch,http://bigreadstjoe.omeka.net/api/tags/36
37,butt pack,http://bigreadstjoe.omeka.net/api/tags/37
38,weapon cleaning kit,http://bigreadstjoe.omeka.net/api/tags/38
39,beret,http://bigreadstjoe.omeka.net/api/tags/39
40,u.s. navy,http://bigreadstjoe.omeka.net/api/tags/40
41,patrol cap,http://bigreadstjoe.omeka.net/api/tags/41
42,goggles,http://bigreadstjoe.omeka.net/api/tags/42
43,air force,http://bigreadstjoe.omeka.net/api/tags/43
44,artwork,http://bigreadstjoe.omeka.net/api/tags/44
45,shell case,http://bigreadstjoe.omeka.net/api/tags/45
46,ammunition,http://bigreadstjoe.omeka.net/api/tags/46
47,grenade,http://bigreadstjoe.omeka.net/api/tags/47
